Year,Contract Number,Contract Type,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Call Center – Pharmacy Hold Time,Call Center – Foreign Language Interpreter and TTY/TDD Availability,Appeals Auto–Forward,Appeals Upheld,Enrollment Timeliness,Complaints about the Drug Plan,Beneficiary Access and Performance Problems,Members Choosing to Leave the Plan,Drug Plan Quality Improvement,Getting Information From Drug Plan,Rating of Drug Plan,Getting Needed Prescription Drugs,MPF Price Accuracy,High Risk Medication,Diabetes Treatment,Part D Medication Adherence for Oral Diabetes Medications,Part D Medication Adherence for Hypertension (RAS antagonists),Part D Medication Adherence for Cholesterol (Statins)
2012,H0303,MA-PD,Local CCP,"PACIFICARE OF ARIZONA, INC",UnitedHealthcare,UnitedHealthcare,0.040277778,76.9,0.1,,96.45,0.21,40,0.1,,0.83,0.84,0.91,98.2,0.196,0.852,0.725,0.729,0.702
2012,H0307,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Health Plan, Inc.",0.020138889,84.1,3,,75.4,0.54,80,0.18,,0.81,0.81,0.88,96,0.182,0.849,0.739,0.726,0.689
2012,H0316,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARIZONA,  INC.",UnitedHealthcare,UnitedHealthcare,0.040277778,76.9,0,,96.67,0.48,40,0.11,,0.88,0.83,0.93,98.4,0.157,0.841,0.717,0.726,0.688
2012,H0317,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Insurance Company,0.020138889,84.1,2.4,,86.43,0.66,100,0.19,,0.78,0.81,0.91,96.4,0.187,0.834,0.759,0.749,0.723
2012,H0318,MA-PD,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Medicare,,,22.4,,,1.29,0,0.35,,0.85,0.8,0.89,98.8,0.11,0.876,0.672,0.734,0.678
2012,H0319,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.040277778,,0,,87.62,0.29,60,0.02,,,,,96.9,0.221,0.824,0.707,0.695,0.673
2012,H0320,MA-PD,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Desert Canyon Community Care,Desert Canyon Community Care,,,0,,90.13,0.19,0,0.09,,0.76,0.81,0.9,98.2,0.188,0.821,0.685,0.693,0.626
2012,H0321,MA-PD,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,UnitedHealthcare Community Plan,0.040277778,,0,,94.99,0.21,80,0.06,,0.76,0.82,0.88,98,0.267,0.858,0.676,0.648,0.635
2012,H0332,MA-PD,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage,0.086805556,82.6,14.1,,98.62,0.21,80,0.03,,0.83,0.88,0.91,97.8,0.246,0.9,0.751,0.734,0.695
2012,H0351,MA-PD,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net of Arizona, Inc.",,,0.4,,78.24,0.21,0,0.19,,0.83,0.85,0.92,98.5,0.2,0.842,0.705,0.711,0.675
2012,H0354,MA-PD,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,Cigna HealthCare of Arizona,0.03125,88.2,12.9,,93.15,0.16,51,0.06,,0.88,0.86,0.9,96.2,0.197,0.833,0.74,0.764,0.754
2012,H0401,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,UnitedHealthcare,0.043055556,77.4,0,,95.54,0.18,60,0.18,,0.88,0.85,0.92,98.3,0.217,0.817,0.764,0.695,0.73
2012,H0408,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.045833333,,,,,,60,,,,,,,0.244,0.711,0.273,0.688,0.803
2012,H0423,MA-PD,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,MetroPlus Health Plan,0.011805556,15.5,0,,83.2,0.62,60,0.16,,,0.8,0.88,97,0.128,0.89,0.709,0.63,0.567
2012,H0490,MA-PD,Local CCP,MOLINA HEALTHCARE OF OHIO,Molina Healthcare of Ohio,Molina Healthcare of Ohio,0.03125,81.3,,,90.18,,49,,,,,,103,0.256,0.81,0.718,0.702,0.629
2012,H0504,MA-PD,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,Blue Shield of California,0.004861111,78.8,7.4,0.4,95.9,0.2,80,0.07,,0.83,0.86,0.91,96.8,0.197,0.852,0.75,0.753,0.726
2012,H0523,MA-PD,Local CCP,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Medicare,Aetna Medicare,,,18,0.556,,0.23,0,0.16,,0.84,0.82,0.9,98,0.128,0.852,0.737,0.73,0.707
2012,H0524,MA-PD,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,Kaiser Permanente Senior Advantage,0.009722222,76.3,2.5,0.942,90.75,0.11,80,0.01,,0.91,0.91,0.94,98.4,0.127,0.878,0.847,0.839,0.816
2012,H0543,MA-PD,Local CCP,UNITEDHEALTHCARE OF CALIFORNIA,UnitedHealthcare,UnitedHealthcare,0.040972222,76.8,0.2,0.769,95.3,0.35,20,0.07,,0.84,0.86,0.92,98,0.19,0.847,0.746,0.749,0.725
2012,H0544,MA-PD,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,CareMore Health Plan,0.013888889,49.3,0.3,,92.43,0.15,80,0.06,,0.84,0.9,0.92,97.4,0.215,0.86,0.734,0.725,0.671
2012,H0545,MA-PD,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,Inter Valley Health Plan,0.024305556,76.8,0,,95.95,0.08,80,0.06,,0.87,0.88,0.93,97.3,0.224,0.829,0.766,0.743,0.704
2012,H0562,MA-PD,Local CCP,HEALTH NET OF CALIFORNIA,Health Net of California,Health Net of California,,,7,0.7,38.68,0.21,0,0.09,,0.84,0.87,0.92,98.5,0.196,0.857,0.731,0.738,0.713
2012,H0564,MA-PD,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,Anthem Blue Cross,0.045138889,69.1,4.2,,89.28,0.42,60,0.15,,0.82,0.83,0.9,94.2,0.182,0.839,0.695,0.709,0.683
2012,H0571,MA-PD,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Community Health Plan,0.021527778,67.1,1.3,,89.76,0.02,80,0.04,,0.86,0.82,0.87,100.5,0.133,0.814,0.805,0.821,0.773
2012,H0602,MA-PD,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,Rocky Mountain Health Plans,,,1.5,,83.24,0.08,80,0.04,,0.87,0.84,0.92,96.5,0.186,0.847,0.756,0.777,0.724
2012,H0609,MA-PD,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,UnitedHealthcare,0.041666667,77.5,0,0.6,96.75,0.27,20,0.05,,0.84,0.84,0.92,98.2,0.184,0.862,0.724,0.737,0.707
2012,H0620,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.041666667,,0,,80.15,0.24,60,0.03,,,,,91.6,0.16,0.703,0.854,0.784,0.753
2012,H0621,MA-PD,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access Advantage,0.018055556,85.3,0,,96.4,0,80,0.1,,0.8,0.83,0.87,99.1,0.232,0.882,0.719,0.677,0.674
2012,H0623,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Insurance Company,0.020138889,84.5,0,,81.75,0.73,80,0.14,,0.82,0.84,0.89,96.7,0.165,0.892,0.751,0.761,0.745
2012,H0624,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.041666667,,0,,95.96,0.37,60,0.05,,0.78,0.86,0.92,98.3,0.241,0.87,0.683,0.699,0.681
2012,H0630,MA-PD,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente Senior Advantage,Kaiser Permanente Senior Advantage,0.010416667,76.3,1.5,,89.91,0.1,80,0.01,,0.85,0.9,0.93,99.1,0.082,0.883,0.778,0.778,0.794
2012,H0710,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.045833333,,0,,95.96,0.63,60,0.07,,0.75,0.82,0.88,98,0.192,0.873,0.702,0.693,0.638
2012,H0712,MA-PD,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,WellCare,0.0125,86.1,6.6,,94.8,0.3,80,0.17,,0.74,0.79,0.87,98.8,0.135,0.885,0.645,0.641,0.573
2012,H0752,MA-PD,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,UnitedHealthcare,0.045833333,77.4,0,,95.01,0.87,60,0.16,,0.89,0.84,0.93,98.1,0.125,0.82,0.74,0.754,0.708
2012,H0755,MA-PD,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,UnitedHealthcare,0.045833333,85.4,0.6,0.625,92.48,0.65,80,0.24,,0.81,0.81,0.91,97.8,0.141,0.821,0.755,0.773,0.714
2012,H0838,MA-PD,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,Brand New Day,0.016666667,,6.3,,99.68,0.37,100,0.17,,0.77,0.83,0.9,97.6,0.206,0.938,0.675,0.684,0.728
2012,H0901,MA-PD,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Medicare,,,,,,,0,,,,,,96.8,0.062,0.943,0.535,0.62,0.587
2012,H0908,MA-PD,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Advantage by Buckeye Community Health Plan,0.011111111,,,,99.25,,80,,,,,,,0.226,0.896,0.665,0.489,0.553
2012,H0913,MA-PD,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,WellCare,0.0125,86.1,0,,94.01,0.21,80,0.27,,0.8,0.79,,99.1,0.138,0.9,0.59,0.558,0.458
2012,H0979,MA-PD,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",0.009027778,91.7,0,,95.29,0.8,80,0.14,,0.84,0.9,0.93,97.7,0.226,0.849,0.746,0.699,0.665
2012,H1013,MA-PD,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Plan of Florida,Coventry Health Plan of Florida,0.015972222,84.9,1.3,,96.52,0.3,40,0.18,,0.83,0.88,0.92,98.3,0.236,0.845,0.734,0.715,0.608
2012,H1016,MA-PD,Local CCP,"AVMED, INC",AvMed Medicare,AvMed Medicare,0.008333333,86,0.4,,99.53,0.21,80,0.1,,0.82,0.88,0.93,94.9,0.166,0.83,0.672,0.707,0.604
2012,H1019,MA-PD,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.","CarePlus Health Plans, Inc.",0.023611111,84.7,0.6,,96.88,0.22,80,0.17,,,0.84,0.91,96.2,0.288,0.865,0.715,0.702,0.591
2012,H1026,MA-PD,Local CCP,"HEALTH OPTIONS, INC","Health Options, Inc / Blue Cross Blue Shield of FL","Health Options, Inc / Blue Cross Blue Shield of FL",0.025694444,53.4,0,,89.51,0.36,80,0.28,,0.77,0.78,0.88,98.6,0.115,0.806,0.691,0.723,0.632
2012,H1032,MA-PD,Local CCP,"WELL CARE OF FLORIDA, INC.",WellCare,WellCare,0.0125,86.1,2.1,0.8,91.78,0.38,60,0.19,,0.76,0.85,0.9,98.8,0.261,0.861,0.69,0.69,0.652
2012,H1035,MA-PD,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.","Florida Health Care Plan, Inc.",0.010416667,75.9,0,,93.83,0.09,80,0.06,,0.86,0.88,0.95,97.3,0.247,0.839,0.794,0.769,0.732
2012,H1036,MA-PD,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.","Humana Medical Plan, Inc.",0.023611111,84,0.3,,79.6,0.27,100,0.09,,,0.87,0.92,95.6,0.258,0.846,0.737,0.72,0.657
2012,H1045,MA-PD,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.","Preferred Care Partners, Inc.",0.013194444,73.4,0,0.412,97.5,0.31,60,0.1,,0.88,0.9,0.93,97.7,0.255,0.847,0.792,0.781,0.672
2012,H1076,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care of Florida,Coventry Health Care of Florida,0.015972222,84.9,3.3,,94.78,0.44,20,0.3,,0.8,0.86,0.91,98.6,0.214,0.853,0.727,0.687,0.622
2012,H1080,MA-PD,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,UnitedHealthcare,0.045833333,77.4,0,,97.55,0.3,40,0.2,,0.85,0.83,0.93,98.3,0.196,0.812,0.704,0.708,0.648
2012,H1099,MA-PD,Local CCP,"HEALTH FIRST HEALTH PLANS, INC.",Health First Medicare Plans,Health First Medicare Plans,0.033333333,82.6,0,,98.4,0.16,100,0.05,,0.93,0.82,0.92,98.2,0.219,0.849,0.733,0.735,0.7
2012,H1108,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.045833333,,0,,96.43,0.58,40,0.06,,0.86,0.85,0.92,97.5,0.267,0.832,0.628,0.643,0.546
2012,H1109,MA-PD,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Medicare,,,19.3,,,0.41,0,0.23,,0.84,0.79,0.88,98.1,0.105,0.854,0.684,0.661,0.603
2012,H1110,MA-PD,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare,,,,,,0.4,0,0.12,,,,,96.9,0.098,0.854,0.69,0.785,0.684
2012,H1111,MA-PD,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,UnitedHealthcare,0.045833333,77.4,0,,95.01,0.45,40,0.15,,0.77,0.86,0.93,97.9,0.321,0.806,0.624,0.605,0.584
2012,H1112,MA-PD,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,WellCare,0.0125,86.1,5.3,,95.8,0.56,60,0.16,,0.71,0.83,0.89,98.7,0.211,0.869,0.623,0.619,0.55
2012,H1170,MA-PD,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente Senior Advantage,Kaiser Permanente Senior Advantage,0.008333333,76.3,0.7,,87.36,0.36,80,0.04,,0.89,0.89,0.92,98.5,0.133,0.856,0.728,0.763,0.701
2012,H1216,MA-PD,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,WellCare,0.013194444,86.1,8.5,,95.05,0.64,80,0.2,,0.78,0.79,0.87,99.1,0.145,0.831,0.623,0.575,0.514
2012,H1230,MA-PD,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,Kaiser Permanente Senior Advantage,0.009027778,76.3,0,,89.91,0.11,80,0.02,,0.89,0.91,0.95,98.1,0.089,0.924,0.784,0.807,0.779
2012,H1251,MA-PD,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,HMSA's 65C Plus,,,0,0,43.26,0.17,100,0.4,,,0.84,0.91,97.5,0.127,0.841,0.764,0.751,0.709
2012,H1264,MA-PD,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,WellCare,0.013194444,86.1,5.5,,95.32,0.67,60,0.29,,0.75,0.81,0.85,98.7,0.21,0.88,0.595,0.587,0.527
2012,H1286,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.040972222,76.8,1.3,,94.39,0.36,40,0.1,,0.83,0.83,0.92,98.3,0.189,0.871,0.771,0.724,0.722
2012,H1291,MA-PD,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Insurance Company of New York,0.023611111,84.1,,,77.27,,,,,,,,,,,,,
2012,H1302,MA-PD,Local CCP,BLUE CROSS OF IDAHO HLTH SERVICES INC,Blue Cross of Idaho,Blue Cross of Idaho,0.022916667,92.7,,,14.8,0.19,100,0.07,,0.86,0.81,0.92,95.9,0.169,0.895,0.817,0.763,0.613
2012,H1303,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.041666667,77.5,0,,94.62,0.19,60,0.05,,0.85,0.85,0.93,98.2,0.205,0.876,0.709,0.733,0.709
2012,H1304,MA-PD,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,Regence BlueShield Of Idaho,0.036111111,85.5,0,,96.32,0.33,80,0.1,,0.88,0.83,0.93,95.6,0.235,0.838,0.764,0.76,0.738
2012,H1350,MA-PD,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Blue Cross of Idaho,Blue Cross of Idaho,0.022916667,92.7,5.7,0.4,30.64,0.12,100,0.14,,0.87,0.85,0.94,96,0.249,0.847,0.751,0.774,0.745
2012,H1355,MA-PD,Local CCP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,Bravo Health,0.0125,83.2,,,84.53,,39,,,,,,95.1,0.316,0.863,0.291,0.611,0.652
2012,H1365,MA-PD,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,Martin's Point Generations Advantage,0.023611111,86.7,,,94.89,0.13,100,,,,,,99.4,0.105,0.904,0.752,0.82,0.792
2012,H1406,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.","Humana Health Plan, Inc.",0.021527778,84.1,0.7,,68.14,0.49,80,0.05,,0.87,0.86,0.9,96,0.132,0.859,0.722,0.722,0.656
2012,H1415,MA-PD,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.","HealthSpring, Inc.",0.016666667,76.6,1.8,,93.82,0.42,44,0.11,,0.73,0.85,0.9,,0.115,0.875,0.679,0.645,0.566
2012,H1416,MA-PD,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,WellCare,0.013194444,86.1,0.9,,94.81,0.45,80,0.14,,0.75,0.84,0.9,98.9,0.112,0.897,0.647,0.643,0.586
2012,H1417,MA-PD,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,0.034027778,73.8,0,,98.17,0.33,100,0.05,,0.91,0.89,0.95,97,0.228,0.839,0.791,0.803,0.755
2012,H1418,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Insurance Company,0.021527778,84.1,0,,85.26,0.9,60,0.19,,0.8,0.83,0.9,96.3,0.158,0.844,0.749,0.759,0.699
2012,H1419,MA-PD,Local CCP,"AETNA HEALTH,  INC.",Aetna Medicare,Aetna Medicare,,,46.1,,,,0,0.18,,,,,97.9,0.04,0.867,0.735,0.618,0.656
2012,H1463,MA-PD,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,0.034027778,73.8,0,,99.2,0.05,80,0.03,,0.92,0.9,0.96,96.9,0.256,0.843,0.817,0.826,0.789
2012,H1468,MA-PD,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.","Humana Benefit Plan of Illinois, Inc.",0.021527778,84.1,0,,66.62,0.32,100,0.06,,0.54,0.86,0.92,95.9,0.243,0.845,0.811,0.808,0.792
2012,H1509,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare,0.045833333,77.4,0.5,0.9,95.74,0.18,40,0.09,,0.82,0.84,0.92,98.1,0.221,0.826,0.714,0.727,0.699
2012,H1510,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Insurance Company,0.023611111,84.1,0.6,,82.37,0.28,100,0.11,,0.86,0.86,0.91,96.5,0.224,0.833,0.782,0.756,0.732
2012,H1517,MA-PD,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Blue Cross and Blue Shield,0.039583333,69.1,25.2,,83.46,0.99,60,0.21,,0.83,0.85,0.91,96.1,0.175,0.85,0.73,0.696,0.668
2012,H1537,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,UnitedHealthcare,,,,,,,,,,,,,,,,,,
2012,H1595,MA-PD,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus,0.029166667,86,,,94.38,,100,,,,,,96.5,0.25,0.856,0.76,0.799,0.744
2012,H1607,MA-PD,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Blue Cross and Blue Shield,0.039583333,69.1,10.7,,86.24,0.79,60,0.15,,0.84,0.82,0.93,96.1,0.209,0.827,0.707,0.731,0.678
2012,H1608,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care,0.0125,84.9,0,,96.28,0.16,40,0.15,,0.83,0.84,0.93,98.6,0.152,0.807,0.777,0.768,0.715
2012,H1609,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Coventry Health Care,0.0125,84.9,2.2,,97.37,0.24,40,0.23,,0.78,0.84,0.92,98.9,0.161,0.812,0.784,0.779,0.744
