Year,Contract Number,Contract Type,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Call Center – Pharmacy Hold Time,Call Center – Foreign Language Interpreter and TTY/TDD Availability,Appeals Auto–Forward,Appeals Upheld,Enrollment Timeliness,Complaints about the Drug Plan,Beneficiary Access and Performance Problems,Members Choosing to Leave the Plan,Drug Plan Quality Improvement,Getting Information From Drug Plan,Rating of Drug Plan,Getting Needed Prescription Drugs,MPF Price Accuracy,High Risk Medication,Diabetes Treatment,Part D Medication Adherence for Oral Diabetes Medications,Part D Medication Adherence for Hypertension (RAS antagonists),Part D Medication Adherence for Cholesterol (Statins)
2012,H0104,MA-PD,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,3,2,4,,1,1,4,1,,3,1,4,3,1,2,3,3,2
2012,H0108,MA-PD,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,4,4,,,1,1,5,,,,,,3,3,3,4,2,2
2012,H0117,MA-PD,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,5,,5,2,3,2,,2,1,3,5,3,3,1,2,2
2012,H0141,MA-PD,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource,5,,,,2,,4,,,,,,5,1,3,4,2,2
2012,H0150,MA-PD,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.",CIGNA,5,4,3,,3,4,3,3,,4,4,4,,1,2,1,1,1
2012,H0151,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,5,4,2,4,,4,5,4,4,1,1,1,1,1
2012,H0154,MA-PD,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,UAB Health System,4,5,3,,2,5,5,5,,4,4,4,5,1,3,2,2,2
2012,H0248,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,5,,1,2,5,3,,2,2,2,3,4,5,3,2,2
2012,H0251,MA-PD,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",3,,3,,4,3,3,3,,2,4,4,4,1,3,2,2,2
2012,H0294,MA-PD,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",,,,,,,,,,,,,,,,,,
2012,H0302,MA-PD,Local CCP,"BANNER MEDISUN, INC.",Banner MediSun,Banner Health,3,2,5,,5,5,4,5,,5,4,5,3,4,2,5,4,4
2012,H0303,MA-PD,Local CCP,"PACIFICARE OF ARIZONA, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,5,,4,4,2,4,,4,4,4,4,3,3,3,3,3
2012,H0307,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,4,3,,1,2,4,2,,3,2,2,3,3,3,3,3,3
2012,H0316,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARIZONA,  INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,5,,5,3,2,4,,5,2,4,5,3,3,3,3,3
2012,H0317,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,3,,2,2,5,2,,2,2,4,3,3,3,4,4,4
2012,H0318,MA-PD,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,,,2,,,1,1,1,,4,1,2,5,4,5,1,3,3
2012,H0319,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,5,,2,3,3,5,,,,,3,3,2,3,2,2
2012,H0320,MA-PD,Local CCP,"ARCADIAN HEALTH PLAN, INC.",Desert Canyon Community Care,Arcadian Management Services Inc.,,,5,,3,4,1,4,,2,2,3,4,3,2,2,2,2
2012,H0321,MA-PD,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",3,,5,,4,4,4,5,,3,2,2,4,1,3,2,1,2
2012,H0332,MA-PD,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"KS Plan Administrators, LLC",3,4,2,,5,4,4,5,,4,5,4,4,2,5,4,3,3
2012,H0351,MA-PD,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",,,4,,1,4,1,2,,4,4,4,5,3,3,2,3,3
2012,H0354,MA-PD,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,3,5,2,,3,5,3,5,,5,4,3,3,3,3,3,4,5
2012,H0401,MA-PD,Local CCP,"UNITEDHEALTHCARE OF ARKANSAS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,4,4,3,2,,5,4,4,5,3,2,4,2,4
2012,H0408,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,,,,,3,,,,,,,2,1,1,2,5
2012,H0423,MA-PD,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,5,1,5,,2,2,3,2,,,1,2,3,4,5,3,1,1
2012,H0490,MA-PD,Local CCP,MOLINA HEALTHCARE OF OHIO,Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",3,4,,,3,,3,,,,,,5,1,1,3,3,2
2012,H0504,MA-PD,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,5,3,2,2,4,4,4,5,,4,4,4,3,3,3,4,4,4
2012,H0523,MA-PD,Local CCP,"AETNA HEALTH OF CALIFORNIA,INC.",Aetna Medicare,Aetna Inc.,,,2,2,,4,1,2,,4,2,3,4,4,3,3,3,3
2012,H0524,MA-PD,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",5,2,3,5,3,5,4,5,,5,5,5,5,4,5,5,5,5
2012,H0543,MA-PD,Local CCP,UNITEDHEALTHCARE OF CALIFORNIA,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,5,4,4,3,1,5,,4,4,4,4,3,3,3,4,4
2012,H0544,MA-PD,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",5,1,5,,3,5,4,5,,4,5,4,3,3,4,3,3,2
2012,H0545,MA-PD,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,4,2,5,,4,5,4,5,,5,5,5,3,2,2,4,3,3
2012,H0562,MA-PD,Local CCP,HEALTH NET OF CALIFORNIA,Health Net of California,"Health Net, Inc.",,,2,3,1,4,1,4,,4,4,4,5,3,3,3,3,4
2012,H0564,MA-PD,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",3,1,2,,2,3,3,3,,4,3,3,3,3,3,2,3,3
2012,H0571,MA-PD,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,4,1,4,,2,5,4,5,,4,2,1,5,4,1,5,5,5
2012,H0602,MA-PD,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",,,3,,2,5,4,5,,5,4,4,3,3,3,4,4,4
2012,H0609,MA-PD,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,2,5,4,1,5,,4,4,4,4,3,4,3,3,3
2012,H0620,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,5,,1,4,3,5,,,,,3,3,1,5,5,5
2012,H0621,MA-PD,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,4,4,5,,4,5,4,4,,3,2,1,5,2,5,3,2,3
2012,H0623,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,5,,1,1,4,3,,4,4,2,3,3,5,4,4,4
2012,H0624,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,5,,4,3,3,5,,2,4,4,5,2,4,2,2,3
2012,H0630,MA-PD,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",5,2,3,,3,5,4,5,,4,5,5,5,5,5,4,4,5
2012,H0710,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,5,,4,2,3,5,,2,2,2,4,3,5,2,2,2
2012,H0712,MA-PD,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,2,,4,3,4,2,,2,1,2,5,4,5,1,1,1
2012,H0752,MA-PD,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,4,1,3,2,,5,4,4,4,4,2,3,4,4
2012,H0755,MA-PD,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,4,3,3,2,4,1,,3,2,4,4,3,2,4,4,4
2012,H0838,MA-PD,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",5,,2,,5,3,5,2,,2,3,3,3,3,5,2,2,4
2012,H0901,MA-PD,Local CCP,AETNA HEALTH INC.,Aetna Medicare,Aetna Inc.,,,,,,,1,,,,,,3,5,5,1,1,1
2012,H0908,MA-PD,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,5,,,,5,,4,,,,,,,2,5,1,1,1
2012,H0913,MA-PD,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,5,,3,4,4,1,,3,1,,5,4,5,1,1,1
2012,H0979,MA-PD,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Insurance Company of NC, Inc.",5,5,5,,4,1,4,3,,4,5,4,3,2,3,3,2,2
2012,H1013,MA-PD,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC",Coventry Health Plan of Florida,Coventry Health Care Inc.,5,4,4,,5,3,2,2,,4,5,4,5,2,3,3,3,1
2012,H1016,MA-PD,Local CCP,"AVMED, INC",AvMed Medicare,"AvMed, Inc.",5,5,4,,5,4,4,4,,4,5,4,3,3,2,1,3,1
2012,H1019,MA-PD,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,4,4,4,,5,4,4,2,,,4,4,3,1,4,3,3,1
2012,H1026,MA-PD,Local CCP,"HEALTH OPTIONS, INC","Health Options, Inc / Blue Cross Blue Shield of FL",Blue Cross and Blue Shield of Florida,3,1,5,,2,3,4,1,,2,1,2,5,4,1,2,3,2
2012,H1032,MA-PD,Local CCP,"WELL CARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,3,4,3,3,3,2,,2,4,3,5,1,4,2,2,2
2012,H1035,MA-PD,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,5,2,5,,3,5,4,5,,4,5,5,3,2,3,5,4,4
2012,H1036,MA-PD,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,4,4,5,,1,4,5,4,,,4,4,3,1,3,3,3,2
2012,H1045,MA-PD,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.",Preferred Care Partners Holding Corp,5,2,5,2,5,3,3,4,,5,5,4,3,1,3,5,5,2
2012,H1076,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC",Coventry Health Care of Florida,Coventry Health Care Inc.,5,4,3,,4,3,1,1,,3,4,4,5,3,3,3,2,2
2012,H1080,MA-PD,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,5,3,2,1,,4,2,5,5,3,1,2,3,2
2012,H1099,MA-PD,Local CCP,"HEALTH FIRST HEALTH PLANS, INC.",Health First Medicare Plans,Health First,3,4,5,,5,5,5,5,,5,2,4,4,3,3,3,3,3
2012,H1108,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,5,,4,2,2,5,,4,4,4,3,1,3,1,1,1
2012,H1109,MA-PD,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,,,2,,,3,1,1,,4,1,2,4,4,3,2,1,1
2012,H1110,MA-PD,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,,,,,,3,1,3,,,,,3,4,3,2,5,3
2012,H1111,MA-PD,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,4,3,2,3,,3,4,4,4,1,1,1,1,1
2012,H1112,MA-PD,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,2,,4,2,3,2,,1,3,2,5,3,4,1,1,1
2012,H1170,MA-PD,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",5,2,4,,2,3,4,5,,5,5,4,5,4,3,3,4,3
2012,H1216,MA-PD,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,2,,4,2,4,1,,2,1,2,5,3,2,1,1,1
2012,H1230,MA-PD,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente Senior Advantage,"Kaiser Foundation Health Plan, Inc.",5,2,5,,3,5,4,5,,5,5,5,4,5,5,4,5,5
2012,H1251,MA-PD,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,Hawaii Medical Service Association,,,5,1,1,5,5,1,,,4,4,3,4,3,4,4,4
2012,H1264,MA-PD,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,2,,4,2,3,1,,3,2,2,5,3,5,1,1,1
2012,H1286,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,4,,3,3,2,4,,4,2,4,5,3,4,4,3,4
2012,H1291,MA-PD,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,4,4,,,1,,,,,,,,,,,,,
2012,H1302,MA-PD,Local CCP,BLUE CROSS OF IDAHO HLTH SERVICES INC,Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",4,5,,,1,4,5,5,,5,2,4,3,3,5,5,4,1
2012,H1303,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,3,4,3,5,,4,4,5,4,3,5,3,3,4
2012,H1304,MA-PD,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",3,4,5,,4,3,4,4,,5,2,5,3,2,3,4,4,4
2012,H1350,MA-PD,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICES, INC",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",4,5,2,2,1,5,5,3,,5,4,5,3,2,3,4,4,4
2012,H1355,MA-PD,Local CCP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,CIGNA,5,4,,,2,,2,,,,,,3,1,4,1,1,2
2012,H1365,MA-PD,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",4,5,,,4,5,5,,,,,,5,4,5,4,5,5
2012,H1406,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,4,4,,1,3,4,5,,5,4,3,3,4,3,3,3,2
2012,H1415,MA-PD,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.","HealthSpring, Inc.",CIGNA,5,2,3,,3,3,3,4,,3,4,3,,4,5,2,1,1
2012,H1416,MA-PD,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,4,,4,3,4,3,,2,4,3,5,4,5,1,1,1
2012,H1417,MA-PD,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,3,2,5,,5,3,5,5,,5,5,5,3,2,3,5,5,5
2012,H1418,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,5,,2,1,3,2,,3,2,3,3,3,3,4,4,3
2012,H1419,MA-PD,Local CCP,"AETNA HEALTH,  INC.",Aetna Medicare,Aetna Inc.,,,1,,,,1,2,,,,,4,5,4,3,1,2
2012,H1463,MA-PD,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,3,2,5,,5,5,4,5,,5,5,5,3,1,3,5,5,5
2012,H1468,MA-PD,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,4,4,5,,1,3,5,5,,1,4,4,3,2,3,5,5,5
2012,H1509,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,5,4,4,2,4,,4,4,4,4,3,2,3,3,3
2012,H1510,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,4,,1,4,5,4,,5,4,4,3,2,3,4,4,4
2012,H1517,MA-PD,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,1,2,,2,1,3,1,,4,4,4,3,3,3,3,2,2
2012,H1537,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",,,,,,,,,,,,,,,,,,
2012,H1595,MA-PD,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,3,5,,,3,,5,,,,,,3,2,3,4,5,4
2012,H1607,MA-PD,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,1,2,,2,1,3,3,,4,2,5,3,3,2,3,3,3
2012,H1608,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Coventry Health Care Inc.,5,4,5,,4,5,2,3,,4,4,4,5,3,1,4,4,4
2012,H1609,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Coventry Health Care Inc.,5,4,3,,5,4,2,1,,2,4,4,5,3,1,4,5,4
2012,H1659,MA-PD,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,3,1,,,5,,,,,,,,,,,,,
2012,H1681,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,5,,2,1,5,2,,4,4,3,3,1,4,2,3,2
2012,H1716,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,4,,2,2,4,1,,4,4,4,3,3,3,4,4,4
2012,H1717,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,5,1,3,3,,2,3,4,4,2,3,1,2,2
2012,H1777,MA-PD,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage,HMO SNP","Catholic Health Care System, Inc.",4,,,,4,5,4,5,,,,,3,4,1,5,3,3
2012,H1804,MA-PD,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,3,,2,,5,5,,,,,3,3,3,5,5,5
2012,H1806,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,5,,2,3,5,3,,3,4,3,3,2,3,3,3,3
2012,H1837,MA-PD,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,3,4,4,,3,2,4,1,,4,2,5,3,3,5,5,5,5
2012,H1846,MA-PD,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,4,5,,,5,,5,,,,,,3,2,1,2,4,3
2012,H1849,MA-PD,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,1,2,,1,3,3,5,,2,4,4,3,2,1,2,3,3
2012,H1903,MA-PD,Local CCP,"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",5,5,3,,4,1,4,2,,3,3,3,5,1,3,1,1,1
2012,H1906,MA-PD,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LA, INC.","Humana Health Benefit Plan of LA, Inc.",Humana Inc.,4,4,5,,1,2,4,4,,4,4,4,3,1,2,4,3,3
2012,H1944,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,2,1,2,3,,4,4,4,5,5,5,5,5,4
2012,H1951,MA-PD,Local CCP,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,4,4,4,,1,4,5,5,,4,4,4,3,1,3,3,3,2
2012,H1961,MA-PD,Local CCP,"PEOPLES HEALTH, INC.",Peoples Health,"PH Holdings, LLC",3,5,4,,4,4,4,5,,4,5,4,3,1,3,3,3,3
2012,H2001,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,5,,5,2,3,4,,4,2,5,4,4,1,4,5,5
2012,H2012,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,4,5,,1,1,5,3,,1,4,4,3,2,3,4,3,3
2012,H2029,MA-PD,Local CCP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,4,4,5,,1,1,4,1,,2,3,2,3,1,5,1,1,1
2012,H2034,MA-PD,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",5,,,,2,,5,,,,,,5,2,1,1,5,5
2012,H2108,MA-PD,Local CCP,BRAVO HEALTH MID- ATLANTIC INC.,Bravo Health,CIGNA,5,4,2,,2,1,2,4,,3,1,2,5,3,3,2,1,1
2012,H2111,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,,5,,3,2,3,4,,,,,4,3,1,3,3,4
2012,H2112,MA-PD,Local CCP,"AETNA HEALTH, INC.",Aetna Medicare,Aetna Inc.,,,2,,,3,1,3,,2,1,1,5,5,4,3,3,3
2012,H2150,MA-PD,1876 Cost,KAISER FNDN HP OF THE MID-ATLANTIC STS,Kaiser Permanente Medicare Plus,"Kaiser Foundation Health Plan, Inc.",,,4,,1,4,5,5,,2,5,5,4,4,5,5,5,4
2012,H2161,MA-PD,Local CCP,"UPPER PENINSULA HEALTH PLAN, INC.",Upper Peninsula Health Plan Plus (HMO SNP),"UPPER PENINSULA HEALTH PLAN, INC.",3,,,,1,,,,,,,,,,,,,
2012,H2165,MA-PD,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",HealthSpring Life & Health,CIGNA,5,2,,,4,1,4,,,4,1,4,,1,1,5,3,3
2012,H2174,MA-PD,Local CCP,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,Trillium Community Health Plan,3,4,2,1,4,5,4,5,,4,5,5,3,1,4,5,4,5
