Year,Contract Number,Contract Type,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,Summary Score,SNP,Sanction Deduction
2012,H0623,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,No,No
2012,H0624,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,H0630,MA-PD,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,Yes,No
2012,H0710,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,H0712,MA-PD,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",3,Yes,No
2012,H0752,MA-PD,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,N/A,No
2012,H0755,MA-PD,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,No,No
2012,H0838,MA-PD,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",3,Yes,No
2012,H0901,MA-PD,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,Not enough data to calculate summary score,No,No
2012,H0908,MA-PD,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,Not enough data to calculate summary score,Yes,No
2012,H0913,MA-PD,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",3,Yes,No
2012,H0979,MA-PD,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3,N/A,No
2012,H1013,MA-PD,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",Coventry Health Plan of Florida,Aetna Inc.,3,Yes,No
2012,H1016,MA-PD,Local CCP,"AVMED, INC.",AvMed Medicare,"AvMed, Inc.",3,No,No
2012,H1019,MA-PD,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,3,Yes,No
2012,H1026,MA-PD,Local CCP,"HEALTH OPTIONS, INC.",Florida Blue HMO,Blue Cross and Blue Shield of Florida,2.5,N/A,No
2012,H1032,MA-PD,Local CCP,"WELLCARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",3,Yes,No
2012,H1035,MA-PD,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,4,No,No
2012,H1036,MA-PD,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,3,Yes,No
2012,H1045,MA-PD,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",3.5,Yes,No
2012,H1076,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC.",Coventry Health Care of Florida,Aetna Inc.,3,Yes,No
2012,H1080,MA-PD,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,H1099,MA-PD,Local CCP,HEALTH FIRST HEALTH PLANS,"Health First Health Plans, Inc.",Health First,4,No,No
2012,H1108,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H1109,MA-PD,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,2,N/A,No
2012,H1110,MA-PD,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,3,N/A,No
2012,H1111,MA-PD,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,Yes,No
2012,H1112,MA-PD,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,Yes,No
2012,H1170,MA-PD,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,Yes,No
2012,H1216,MA-PD,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,Yes,No
2012,H1230,MA-PD,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,N/A,No
2012,H1251,MA-PD,1876 Cost,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),HMSA's 65C Plus,Hawaii Medical Service Association,3.5,N/A,No
2012,H1264,MA-PD,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,Yes,No
2012,H1286,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,No,No
2012,H1291,MA-PD,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,Not enough data to calculate summary score,N/A,No
2012,H1302,MA-PD,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",4,N/A,No
2012,H1303,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,No,No
2012,H1304,MA-PD,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",4,N/A,No
2012,H1350,MA-PD,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",3.5,Yes,No
2012,H1355,MA-PD,Local CCP,"BRAVO HEALTH INSURANCE COMPANY, INC.",Bravo Health,"HealthSpring, Inc.",2.5,Yes,No
2012,H1365,MA-PD,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",5,N/A,No
2012,H1406,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3.5,No,No
2012,H1415,MA-PD,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,3,Yes,No
2012,H1416,MA-PD,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",3,Yes,No
2012,H1417,MA-PD,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4.5,N/A,No
2012,H1418,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,No,No
2012,H1419,MA-PD,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,2.5,No,No
2012,H1463,MA-PD,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4,N/A,No
2012,H1468,MA-PD,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,4,N/A,No
2012,H1509,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H1510,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,No,No
2012,H1517,MA-PD,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2.5,N/A,No
2012,H1537,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,N/A,No
2012,H1595,MA-PD,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,4,N/A,No
2012,H1607,MA-PD,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2.5,N/A,No
2012,H1608,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,3.5,N/A,No
2012,H1609,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Aetna Inc.,3.5,No,No
2012,H1659,MA-PD,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,Not enough data to calculate summary score,N/A,No
2012,H1681,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,N/A,No
2012,H1716,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3.5,No,No
2012,H1717,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,Yes,No
2012,H1777,MA-PD,Local CCP,"CATHOLIC SPECIAL NEEDS PLAN, LLC","ArchCare Advantage, HMO SNP",Catholic Health Care System,3.5,Yes,No
2012,H1804,MA-PD,PFFS,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4.5,N/A,No
2012,H1806,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,No,No
2012,H1837,MA-PD,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,4,No,No
2012,H1846,MA-PD,Local CCP,MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,3,N/A,No
2012,H1849,MA-PD,Local CCP,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",2.5,N/A,No
2012,H1903,MA-PD,Local CCP,"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",2.5,Yes,No
2012,H1906,MA-PD,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,3,N/A,No
2012,H1944,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4.5,N/A,No
2012,H1951,MA-PD,Local CCP,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,3,Yes,No
2012,H1961,MA-PD,Local CCP,"PEOPLES HEALTH, INC.",Peoples Health,"PH Holdings, LLC",3.5,Yes,No
2012,H2001,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,No,No
2012,H2012,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3,Yes,No
2012,H2029,MA-PD,Local CCP,"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,2.5,No,No
2012,H2034,MA-PD,Local CCP,"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",3,Yes,No
2012,H2108,MA-PD,Local CCP,"BRAVO HEALTH MID-ATLANTIC, INC.",Cigna-HealthSpring,CIGNA,2.5,Yes,No
2012,H2111,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,Yes,No
2012,H2112,MA-PD,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,3,No,No
2012,H2150,MA-PD,1876 Cost,KAISER FNDN HP OF THE MID-ATLANTIC STS,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4.5,N/A,No
2012,H2161,MA-PD,Local CCP,"UPPER PENINSULA HEALTH PLAN, LLC",Upper Peninsula Health Plan,Marquette General Hospital,Not enough data to calculate summary score,Yes,No
2012,H2165,MA-PD,Local CCP,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,3,Yes,No
2012,H2174,MA-PD,Local CCP,TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,"Agate Resources,  Inc.",4,Yes,No
2012,H2182,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.5,No,No
2012,H2224,MA-PD,Local CCP,"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,"SWH Holdings, Inc.",4,Yes,No
2012,H2225,MA-PD,Local CCP,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",4.5,Yes,No
2012,H2226,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",4,Yes,No
2012,H2228,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H2230,MA-PD,Local CCP,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",4.5,N/A,No
2012,H2237,MA-PD,Local CCP,"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Independent Care Health Plan Inc.,3,Yes,No
2012,H2241,MA-PD,Local CCP,GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,Golden State Medicare Health Plan,3,N/A,No
2012,H2256,MA-PD,Local CCP,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan or Tufts Medicare Preferred,"Tufts Associated HMO, Inc.",4,N/A,No
2012,H2261,MA-PD,Local CCP,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",3.5,N/A,No
2012,H2312,MA-PD,Local CCP,HEALTH ALLIANCE PLAN OF MICHIGAN,HAP Senior Plus,Henry Ford Health System,4.5,N/A,No
2012,H2320,MA-PD,Local CCP,PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,4,No,No
2012,H2322,MA-PD,Local CCP,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare PPO,Henry Ford Health System,3.5,N/A,No
2012,H2323,MA-PD,Local CCP,FIDELIS SECURECARE OF MICHIGAN,Fidelis SecureCare Of Michigan,"Fidelis SeniorCare, Inc.",4,Yes,No
2012,H2354,MA-PD,Local CCP,HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,HealthPlus of Michigan,4.5,N/A,No
2012,H2406,MA-PD,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H2410,MA-PD,PFFS,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,4.5,No,No
2012,H2411,MA-PD,Local CCP,FALLON COMMUNITY HEALTH PLAN,Fallon Senior Plan,Fallon Community Health Plan,Not enough data to calculate summary score,N/A,No
2012,H2416,MA-PD,Local CCP,PRIMEWEST CTRL COUNTY-BASED PURCHASING INITIATIVE,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,4.5,Yes,No
2012,H2417,MA-PD,Local CCP,ITASCA MEDICAL CARE,Itasca Medical Care/IMCare Classic,Itasca County Health & Human Services,Not enough data to calculate summary score,Yes,No
2012,H2419,MA-PD,Local CCP,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,4.5,Yes,No
2012,H2422,MA-PD,Local CCP,"HEALTHPARTNERS, INC.",HealthPartners,"HealthPartners, Inc.",4,Yes,No
2012,H2425,MA-PD,Local CCP,BLUE PLUS,Blue Plus,Blue Cross and Blue Shield of Minnesota,4,Yes,No
2012,H2450,MA-PD,1876 Cost,MEDICA INSURANCE COMPANY,Medica Insurance Company,Medica Holding Company,4.5,N/A,No
2012,H2456,MA-PD,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,3.5,Yes,No
2012,H2457,MA-PD,Local CCP,METROPOLITAN HEALTH PLAN,MHP,Metropolitan Health Plan,Not enough data to calculate summary score,Yes,No
2012,H2458,MA-PD,Local CCP,MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,4.5,Yes,No
2012,H2459,MA-PD,Local CCP,UCARE MINNESOTA,UCare,UCare Minnesota,4.5,No,No
2012,H2462,MA-PD,1876 Cost,"GROUP HEALTH PLAN, INC. (MN)",HealthPartners,"HealthPartners, Inc.",4,N/A,No
2012,H2486,MA-PD,Local CCP,"HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.",Humana Inc.,4,N/A,No
2012,H2491,MA-PD,Local CCP,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",'Ohana Health Plan,"WellCare Health Plans, Inc.",3,Yes,No
2012,H2542,MA-PD,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,N/A,No
2012,H2593,MA-PD,Local CCP,"CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.","WellPoint, Inc.",3.5,Yes,No
2012,H2610,MA-PD,Local CCP,"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,3.5,No,No
2012,H2611,MA-PD,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,2.5,N/A,No
2012,H2643,MA-PD,Local CCP,LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,L.A. Care Health Plan Medicare Advantage,Local Initiative Health Authority for LA County,3,Yes,No
2012,H2649,MA-PD,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,3.5,No,No
2012,H2654,MA-PD,Local CCP,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,Yes,No
2012,H2663,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.",Aetna Inc.,3.5,No,No
2012,H2667,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF MISSOURI, INC",Coventry Health Care,Aetna Inc.,3.5,N/A,No
2012,H2672,MA-PD,Local CCP,"COVENTRY HEALTH CARE OF KANSAS, INC.",COVENTRY HEALTH CARE,Aetna Inc.,4,No,No
2012,H2701,MA-PD,Local CCP,NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,4.5,No,No
2012,H2773,MA-PD,Local CCP,"QUALITY HEALTH PLANS OF NEW YORK, INC.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",Not enough data to calculate summary score,Yes,Yes
2012,H2775,MA-PD,Local CCP,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,3,No,No
2012,H2802,MA-PD,Local CCP,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.5,No,No
